date,PX_OPEN,PX_LOW,PX_HIGH,PX_LAST,VOLUME,MOV_AVG_5D,CHG_PCT_1D
2015-01-02,127.69,125.83,129.14,127.27,40140.0,128.5,0.2126
2015-01-05,126.89,125.07,126.89,125.23,45373.0,127.708,-1.6029
2015-01-06,125.35,122.38,125.37,122.84,48406.0,126.224,-1.9085
2015-01-07,123.68,123.12,124.47,124.24,36275.0,125.316,1.1397
2015-01-08,125.1,124.37,125.47,125.26,31000.0,124.968,0.821
2015-01-09,125.04,124.74,126.08,125.77,35918.0,124.668,0.4072
2015-01-12,124.85,123.88,126.14,125.7,39095.0,124.762,-0.0557
2015-01-13,122.25,117.89,123.39,118.86,113731.0,123.966,-5.4415
2015-01-14,117.94,117.52,119.57,119.0,71003.0,122.918,0.1178
2015-01-15,119.18,117.4,119.45,117.56,32867.0,121.378,-1.2101
2015-01-16,117.01,116.71,118.25,118.06,25900.0,119.836,0.4253
2015-01-20,118.1,117.11,118.7,117.58,31261.0,118.212,-0.4066
2015-01-21,117.14,117.14,118.49,118.04,45373.0,118.048,0.3912
2015-01-22,118.93,118.77,120.92,120.28,34764.0,118.304,1.8977
2015-01-23,119.8,119.17,121.01,120.85,24013.0,118.962,0.4739
2015-01-26,120.82,120.5,122.18,121.77,38266.0,119.704,0.7613
2015-01-27,120.35,119.13,120.35,119.47,21756.0,120.082,-1.8888
2015-01-28,119.46,118.0,120.33,118.62,31416.0,120.198,-0.7115
2015-01-29,118.38,118.34,120.39,120.39,18895.0,120.22,1.4922
2015-01-30,118.97,118.97,121.13,120.12,78268.0,120.074,-0.2243
2015-02-02,120.28,119.39,121.43,121.24,50381.0,119.968,0.9324
2015-02-03,121.29,121.29,123.02,122.91,24882.0,120.656,1.3774
2015-02-04,122.25,120.32,122.56,121.04,49315.0,121.14,-1.5214
2015-02-05,121.28,121.28,123.11,123.11,48635.0,121.684,1.7102
2015-02-06,122.8,122.8,125.34,124.24,61572.0,122.508,0.9179
2015-02-09,123.41,121.3,124.12,121.69,31224.0,122.598,-2.0525
