date,PX_OPEN,PX_LOW,PX_HIGH,PX_LAST,VOLUME,MOV_AVG_5D,CHG_PCT_1D
2015-01-02,4.2,4.1,4.41,4.2,51572.0,3.952,0.2387
2015-01-05,4.1,3.75,4.13,3.75,98683.0,4.024,-10.7143
2015-01-06,3.75,3.41,3.92,3.51,109694.0,3.976,-6.4
2015-01-07,3.55,3.3,3.58,3.34,46826.0,3.798,-4.8433
2015-01-08,3.41,3.31,3.53,3.5,21625.0,3.66,4.7904
2015-01-09,3.5,3.39,3.5,3.43,28404.0,3.506,-2.0
2015-01-12,3.46,3.21,3.47,3.47,77788.0,3.45,1.1662
2015-01-13,3.47,3.21,3.47,3.39,106534.0,3.426,-2.3055
2015-01-14,3.44,3.19,3.44,3.3,36603.0,3.418,-2.6549
2015-01-15,3.32,3.18,3.43,3.24,35824.0,3.366,-1.8182
2015-01-16,3.25,3.25,3.58,3.54,121441.0,3.388,9.2593
2015-01-20,3.6,3.26,3.6,3.34,20298.0,3.362,-5.6497
2015-01-21,3.4,3.34,3.52,3.49,39171.0,3.382,4.491
2015-01-22,3.55,3.28,3.55,3.435,47051.0,3.409,-1.5759
2015-01-23,3.42,3.41,3.62,3.59,23731.0,3.479,4.5124
2015-01-26,3.65,3.61,3.8,3.78,43335.0,3.527,5.2925
2015-01-27,3.8,3.53,3.9,3.79,49390.0,3.617,0.2646
2015-01-28,3.94,3.58,3.94,3.6,34378.0,3.639,-5.0132
2015-01-29,3.6,3.37,3.79,3.77,48662.0,3.706,4.7222
2015-01-30,3.6,3.42,3.75,3.48,101067.0,3.684,-7.6923
2015-02-02,3.63,3.55,3.69,3.67,50835.0,3.662,5.4598
2015-02-03,3.67,3.53,3.88,3.6,41672.0,3.624,-1.9074
2015-02-04,3.57,3.39,3.6,3.41,32495.0,3.586,-5.2778
2015-02-05,3.48,3.44,3.67,3.5,33370.0,3.532,2.6393
2015-02-06,3.57,3.45,3.57,3.48,22478.0,3.532,-0.5714
2015-02-09,3.51,3.44,3.61,3.49,25044.0,3.496,0.2874
2015-02-10,3.6,3.35,3.6,3.35,40366.0,3.446,-4.0115
2015-02-11,3.3,3.3,3.37,3.31,35358.0,3.426,-1.194
2015-02-12,3.3,3.29,3.42,3.3,32566.0,3.386,-0.3021
2015-02-13,3.33,3.33,3.6,3.55,24194.0,3.4,7.5758
2015-02-17,3.57,3.51,3.7,3.66,30264.0,3.434,3.0986
2015-02-18,3.6,3.46,3.62,3.54,28778.0,3.472,-3.2787
2015-02-19,3.46,3.46,3.63,3.53,25037.0,3.516,-0.2825
2015-02-20,3.55,3.35,3.55,3.45,33632.0,3.546,-2.2663
2015-02-23,3.37,3.31,3.45,3.38,38640.0,3.512,-2.029
2015-02-24,3.38,3.33,3.41,3.41,21694.0,3.462,0.8876
2015-02-25,3.39,3.36,3.48,3.45,14473.0,3.444,1.173
2015-02-26,3.44,3.4,3.48,3.46,16194.0,3.43,0.2899
2015-02-27,3.48,3.42,3.49,3.47,16267.0,3.434,0.289
2015-03-02,3.45,3.36,3.49,3.4,12940.0,3.438,-2.0173
2015-03-03,3.4,3.35,3.44,3.35,13725.0,3.426,-1.4706
2015-03-04,3.35,3.3,3.37,3.3,27091.0,3.396,-1.4925
