date,PX_OPEN,PX_LOW,PX_HIGH,PX_LAST,VOLUME,MOV_AVG_5D,CHG_PCT_1D
2015-01-02,22.32,21.67,22.32,21.94,147351.0,22.234,-0.9481
2015-01-05,21.77,21.53,21.82,21.53,257181.0,22.096,-1.8687
2015-01-06,21.56,21.12,21.68,21.21,263283.0,21.84,-1.4863
2015-01-07,21.51,21.14,21.56,21.39,252136.0,21.644,0.8487
2015-01-08,21.57,21.47,21.76,21.62,384622.0,21.538,1.0753
2015-01-09,21.6,21.0,21.61,21.0,219160.0,21.35,-2.8677
2015-01-12,20.94,20.65,21.01,20.8,208911.0,21.204,-0.9524
2015-01-13,21.02,20.6,21.27,20.84,190671.0,21.13,0.1923
2015-01-14,20.73,20.17,20.73,20.36,188908.0,20.924,-2.3033
2015-01-15,20.26,19.89,20.36,19.9,454332.0,20.58,-2.2593
2015-01-16,19.83,19.72,20.16,20.09,385102.0,20.398,0.9548
2015-01-20,20.18,19.87,20.29,20.01,317282.0,20.24,-0.3982
2015-01-21,20.03,19.86,20.29,20.04,201845.0,20.08,0.1499
2015-01-22,20.23,20.16,21.07,21.06,288556.0,20.22,5.0898
2015-01-23,21.02,20.41,21.04,20.59,195911.0,20.358,-2.2317
2015-01-26,20.53,20.2,20.97,20.79,291306.0,20.498,0.9713
2015-01-27,20.49,20.35,20.75,20.58,201531.0,20.612,-1.0101
2015-01-28,20.69,20.07,20.71,20.12,327565.0,20.628,-2.2352
2015-01-29,20.06,20.01,20.37,20.34,209308.0,20.484,1.0934
2015-01-30,20.14,19.84,20.26,19.86,351235.0,20.338,-2.3599
2015-02-02,19.95,19.87,20.33,20.31,270449.0,20.242,2.2659
2015-02-03,20.35,20.35,20.83,20.78,330951.0,20.282,2.3141
2015-02-04,20.63,20.45,20.87,20.52,183947.0,20.362,-1.2512
2015-02-05,20.61,20.61,20.99,20.89,217241.0,20.472,1.8031
2015-02-06,20.97,20.97,21.34,21.14,229831.0,20.728,1.1967
2015-02-09,21.03,20.77,21.09,20.77,139274.0,20.82,-1.7502
2015-02-10,20.97,20.59,20.97,20.86,124612.0,20.836,0.4333
2015-02-11,20.79,20.62,20.84,20.73,129152.0,20.878,-0.6232
2015-02-12,20.82,20.73,21.12,21.055,104524.0,20.911,1.5678
2015-02-13,21.05,20.95,21.23,21.13,114027.0,20.909,0.3562
2015-02-17,21.19,21.05,21.3,21.21,121257.0,20.997,0.3786
2015-02-18,21.2,20.95,21.26,20.99,233440.0,21.023,-1.0372
2015-02-19,20.9,20.63,21.02,20.83,169281.0,21.043,-0.7623
2015-02-20,20.83,20.47,20.97,20.96,369529.0,21.024,0.6241
2015-02-23,20.92,20.65,20.94,20.93,135323.0,20.984,-0.1431
2015-02-24,20.94,20.92,21.18,21.11,131656.0,20.964,0.86
2015-02-25,21.06,20.96,21.19,21.08,129685.0,20.982,-0.1421
2015-02-26,21.03,20.98,21.17,21.17,99971.0,21.05,0.4269
2015-02-27,21.14,20.995,21.31,21.12,222136.0,21.082,-0.2362
2015-03-02,21.14,20.94,21.36,21.35,228479.0,21.166,1.089
2015-03-03,21.3,21.1,21.39,21.25,196143.0,21.194,-0.4684
2015-03-04,21.2,20.96,21.2,21.16,120199.0,21.21,-0.4235
2015-03-05,21.22,20.88,21.22,21.13,114814.0,21.202,-0.1418
2015-03-06,20.92,20.92,21.61,21.1,199381.0,21.198,-0.142
2015-03-09,21.17,21.17,21.51,21.5,279404.0,21.228,1.8957
2015-03-10,21.34,20.89,21.34,20.9,158545.0,21.158,-2.7907
2015-03-11,20.95,20.79,21.16,21.13,165187.0,21.152,1.1005
2015-03-12,21.29,21.07,21.67,21.65,194474.0,21.256,2.461
2015-03-13,21.59,21.2,21.76,21.68,174886.0,21.372,0.1386
2015-03-16,21.8,21.65,22.01,21.85,187034.0,21.442,0.7841
2015-03-17,21.73,21.58,22.03,21.985,192244.0,21.659,0.6178
2015-03-18,21.87,21.76,22.09,21.9,203313.0,21.813,-0.3866
2015-03-19,21.78,21.56,21.94,21.86,187511.0,21.855,-0.1826
2015-03-20,21.96,21.79,22.21,22.14,600051.0,21.947,1.2809
2015-03-23,22.14,21.9,22.25,22.0,165359.0,21.977,-0.6323
2015-03-24,21.98,21.75,22.1,21.99,158764.0,21.978,-0.0455
2015-03-25,21.98,21.73,22.03,21.77,167591.0,21.952,-1.0005
2015-03-26,21.72,21.49,21.81,21.58,246589.0,21.896,-0.8728
2015-03-27,21.54,21.28,21.54,21.45,183739.0,21.758,-0.6024
2015-03-30,21.56,21.56,21.905,21.83,149821.0,21.724,1.7716
2015-03-31,21.69,21.62,21.86,21.805,188775.0,21.687,-0.1145
2015-04-01,21.73,21.31,21.79,21.605,141782.0,21.654,-0.9172
2015-04-02,21.57,21.57,21.865,21.82,223242.0,21.702,0.9951
2015-04-06,21.58,21.31,21.72,21.7,275530.0,21.752,-0.55
2015-04-07,21.66,21.58,21.79,21.59,128563.0,21.704,-0.5069
2015-04-08,21.58,21.51,21.76,21.7,118175.0,21.683,0.5095
2015-04-09,21.65,21.35,21.7,21.61,107160.0,21.684,-0.4147
2015-04-10,21.66,21.53,21.71,21.64,67606.0,21.648,0.1388
2015-04-13,21.58,21.58,21.86,21.76,89246.0,21.66,0.5545
2015-04-14,21.69,21.45,21.8,21.77,78811.0,21.696,0.046
2015-04-15,21.92,21.92,22.69,22.39,336954.0,21.834,2.848
2015-04-16,22.17,21.87,22.37,22.34,194528.0,21.98,-0.2233
2015-04-17,22.16,21.86,22.18,21.95,220454.0,22.042,-1.7457
2015-04-20,22.03,22.03,22.4,22.24,134367.0,22.138,1.3212
2015-04-21,22.37,22.22,22.53,22.26,155016.0,22.236,0.0899
2015-04-22,22.16,22.0,22.4,22.28,113387.0,22.214,0.0898
2015-04-23,22.27,21.96,22.31,22.22,216456.0,22.19,-0.2693
2015-04-24,22.15,21.9,22.15,21.94,143622.0,22.188,-1.2601
2015-04-27,21.92,21.46,21.97,21.72,188778.0,22.084,-1.0027
2015-04-28,21.77,21.71,22.12,22.1,135649.0,22.052,1.7495
2015-04-29,22.04,21.99,22.19,22.03,124630.0,22.002,-0.3167
2015-04-30,21.95,21.55,22.03,21.6,647035.0,21.878,-1.9519
2015-05-01,21.62,21.415,21.84,21.46,213534.0,21.782,-0.6481
2015-05-04,21.51,21.49,22.01,21.82,225933.0,21.802,1.6775
2015-05-05,21.75,21.62,21.96,21.71,263864.0,21.724,-0.5041
2015-05-06,21.78,21.48,21.96,21.95,208825.0,21.708,1.1055
2015-05-07,21.95,21.64,22.03,21.85,172185.0,21.758,-0.4556
2015-05-08,22.2,21.76,22.2,21.96,160356.0,21.858,0.5034
2015-05-11,21.92,21.87,22.15,21.89,164245.0,21.872,-0.3188
2015-05-12,21.77,21.51,22.1,21.98,217125.0,21.926,0.4111
2015-05-13,22.0,21.87,22.05,21.98,220675.0,21.932,0.0
2015-05-14,22.09,21.93,22.14,22.07,85795.0,21.976,0.4095
2015-05-15,22.05,21.81,22.13,21.86,112103.0,21.956,-0.9515
2015-05-18,21.84,21.83,22.19,22.16,140213.0,22.01,1.3724
2015-05-19,22.23,22.09,22.24,22.17,94057.0,22.048,0.0451
2015-05-20,22.23,21.93,22.23,22.0,90445.0,22.052,-0.7668
2015-05-21,21.95,21.82,22.11,21.97,87826.0,22.032,-0.1364
2015-05-22,21.95,21.86,22.1,21.89,82882.0,22.038,-0.3641
2015-05-26,21.85,21.47,21.85,21.74,215697.0,21.954,-0.6852
2015-05-27,21.77,21.66,22.1,22.02,144753.0,21.924,1.2879
2015-05-28,21.98,21.83,22.135,22.12,163229.0,21.948,0.4541
2015-05-29,22.07,21.73,22.15,22.1,181977.0,21.974,-0.0904
2015-06-01,22.19,21.79,22.26,21.945,161963.0,21.985,-0.7014
2015-06-02,21.83,21.8,22.34,22.19,126011.0,22.075,1.1164
2015-06-03,22.3,22.29,22.66,22.53,134305.0,22.177,1.5322
2015-06-04,22.39,22.21,22.49,22.32,148427.0,22.217,-0.9321
2015-06-05,22.39,22.34,22.67,22.66,144885.0,22.329,1.5233
2015-06-08,22.6,22.53,22.79,22.69,183461.0,22.478,0.1324
2015-06-09,22.75,22.49,22.93,22.82,146808.0,22.604,0.5729
2015-06-10,22.88,22.84,23.39,23.39,197566.0,22.776,2.4978
2015-06-11,23.39,23.19,23.42,23.38,159396.0,22.988,-0.0428
2015-06-12,23.26,23.24,23.42,23.39,114282.0,23.134,0.0428
2015-06-15,23.15,22.99,23.86,23.62,370558.0,23.32,0.9833
2015-06-16,23.49,23.47,24.11,24.0,278149.0,23.556,1.6088
2015-06-17,24.08,23.44,24.08,23.45,178132.0,23.568,-2.2917
2015-06-18,23.47,23.34,23.71,23.66,217695.0,23.624,0.8955
2015-06-19,23.59,23.49,23.71,23.66,660256.0,23.678,0.0
2015-06-22,23.86,23.77,24.04,24.03,169109.0,23.76,1.5638
2015-06-23,24.02,23.94,24.21,24.16,165416.0,23.792,0.541
2015-06-24,24.15,24.01,24.22,24.07,171264.0,23.916,-0.3725
2015-06-25,23.94,23.71,24.01,23.8,358894.0,23.944,-1.1217
