date,PX_OPEN,PX_LOW,PX_HIGH,PX_LAST,VOLUME,MOV_AVG_5D,CHG_PCT_1D
2015-01-02,12.45,12.06,12.48,12.27,106047.0,12.424,-0.7282
2015-01-05,12.23,11.95,12.23,11.99,164527.0,12.354,-2.282
2015-01-06,12.04,11.37,12.11,11.52,208819.0,12.124,-3.9199
2015-01-07,11.66,11.55,11.84,11.77,119080.0,11.982,2.1701
2015-01-08,11.9,11.74,12.06,12.05,242848.0,11.92,2.3789
2015-01-09,12.04,11.71,12.04,11.88,275814.0,11.842,-1.4108
2015-01-12,11.86,11.7,11.99,11.9,151579.0,11.824,0.1684
2015-01-13,12.01,11.71,12.14,11.9,210934.0,11.9,0.0
2015-01-14,12.0,11.77,12.45,12.29,262680.0,12.004,3.2773
2015-01-15,12.42,12.03,12.51,12.27,313519.0,12.048,-0.1627
2015-01-16,12.21,12.04,12.45,12.44,142611.0,12.16,1.3855
2015-01-20,12.47,12.07,12.47,12.26,141300.0,12.232,-1.4469
2015-01-21,12.24,12.13,12.38,12.25,107929.0,12.302,-0.0816
2015-01-22,12.25,12.16,12.5,12.47,134514.0,12.338,1.7959
2015-01-23,12.43,12.38,12.59,12.5,89438.0,12.384,0.2406
2015-01-26,12.5,12.38,12.86,12.75,169249.0,12.446,2.0
2015-01-27,12.59,12.54,12.88,12.72,153565.0,12.538,-0.2353
2015-01-28,12.82,12.52,12.95,12.59,204252.0,12.606,-1.022
2015-01-29,12.69,12.55,12.91,12.9,192224.0,12.692,2.4623
2015-01-30,12.77,12.45,12.79,12.47,216927.0,12.686,-3.3333
2015-02-02,12.51,11.84,12.6,11.95,459559.0,12.526,-4.17
2015-02-03,12.07,12.07,12.77,12.69,371452.0,12.52,6.1925
2015-02-04,13.0,12.96,14.04,13.63,730419.0,12.728,7.4074
2015-02-05,13.83,13.01,13.83,13.57,481356.0,12.862,-0.4402
2015-02-06,13.51,13.43,13.87,13.66,399475.0,13.1,0.6632
2015-02-09,13.67,13.67,14.29,13.93,523137.0,13.496,1.9766
2015-02-10,14.07,13.78,14.11,13.79,299523.0,13.716,-1.005
2015-02-11,13.77,13.45,13.85,13.54,313850.0,13.698,-1.8129
2015-02-12,13.72,13.52,13.73,13.63,247995.0,13.71,0.6647
2015-02-13,13.67,13.57,14.06,14.01,236316.0,13.78,2.788
2015-02-17,14.0,13.91,14.23,14.16,223748.0,13.826,1.0707
2015-02-18,14.15,14.12,14.54,14.32,309889.0,13.932,1.1299
2015-02-19,14.27,14.25,14.65,14.59,270437.0,14.142,1.8855
2015-02-20,14.59,14.4,14.68,14.46,189388.0,14.308,-0.891
2015-02-23,14.3,14.08,14.4,14.17,367540.0,14.34,-2.0055
2015-02-24,14.15,14.02,14.63,14.42,297206.0,14.392,1.7643
2015-02-25,14.5,14.45,14.82,14.66,266679.0,14.46,1.6644
2015-02-26,14.66,14.65,14.85,14.66,209206.0,14.474,0.0
2015-02-27,14.57,14.57,14.83,14.65,221399.0,14.512,-0.0682
2015-03-02,14.65,14.58,14.96,14.77,273494.0,14.632,0.8191
2015-03-03,14.7,14.55,14.83,14.56,221371.0,14.66,-1.4218
2015-03-04,14.56,14.39,14.66,14.51,252674.0,14.63,-0.3434
2015-03-05,14.55,14.44,14.6,14.52,148134.0,14.602,0.0689
2015-03-06,14.4,14.36,14.6,14.46,347039.0,14.564,-0.4132
2015-03-09,14.49,14.36,14.61,14.52,157351.0,14.514,0.4149
2015-03-10,14.31,14.25,14.41,14.25,184646.0,14.452,-1.8595
2015-03-11,14.29,14.27,14.55,14.55,341605.0,14.46,2.1053
2015-03-12,14.72,14.71,14.875,14.85,176450.0,14.526,2.0619
2015-03-13,14.82,14.61,14.84,14.74,154741.0,14.582,-0.7407
2015-03-16,14.77,14.56,14.85,14.78,158774.0,14.634,0.2714
2015-03-17,14.67,14.59,14.77,14.65,112767.0,14.714,-0.8796
2015-03-18,14.54,14.5,14.91,14.84,242794.0,14.772,1.2969
2015-03-19,14.79,14.52,14.82,14.55,151990.0,14.712,-1.9542
2015-03-20,14.61,14.02,14.62,14.07,578688.0,14.578,-3.299
2015-03-23,14.1,13.68,14.39,13.69,336152.0,14.36,-2.7008
2015-03-24,13.71,13.58,13.9,13.67,688826.0,14.164,-0.1461
