date,PX_OPEN,PX_LOW,PX_HIGH,PX_LAST,VOLUME,MOV_AVG_5D,CHG_PCT_1D
2015-01-02,17.05,16.27,17.05,16.3,4934.0,16.872,-4.2303
2015-01-05,16.29,16.26,16.48,16.47,10465.0,16.77,1.0429
2015-01-06,16.52,16.07,16.52,16.07,10708.0,16.576,-2.4287
2015-01-07,16.28,16.15,16.43,16.33,4642.0,16.438,1.6179
2015-01-08,16.54,16.53,16.81,16.78,8336.0,16.39,2.7557
2015-01-09,16.84,16.45,16.84,16.45,4426.0,16.42,-1.9666
2015-01-12,16.4,16.07,16.49,16.27,7322.0,16.38,-1.0942
2015-01-13,16.45,16.39,16.7,16.41,7090.0,16.448,0.8605
2015-01-14,16.26,16.11,16.44,16.17,7192.0,16.416,-1.4625
2015-01-15,16.25,16.03,16.25,16.05,10378.0,16.27,-0.7421
2015-01-16,16.0,16.0,16.53,16.34,22237.0,16.248,1.8069
2015-01-20,16.45,16.17,16.56,16.17,7041.0,16.228,-1.0404
2015-01-21,16.18,16.1,16.39,16.15,8803.0,16.176,-0.1237
2015-01-22,16.35,16.13,16.81,16.79,10973.0,16.3,3.9628
2015-01-23,16.82,16.54,16.82,16.82,4824.0,16.454,0.1787
2015-01-26,16.71,16.57,16.71,16.57,5962.0,16.5,-1.4863
2015-01-27,16.41,16.35,16.6,16.36,6066.0,16.538,-1.2674
2015-01-28,16.55,16.22,16.55,16.23,14931.0,16.554,-0.7946
2015-01-29,16.36,16.17,16.73,16.73,8116.0,16.542,3.0807
2015-01-30,16.5,16.34,16.79,16.36,16369.0,16.45,-2.2116
2015-02-02,16.35,16.21,16.48,16.48,7640.0,16.432,0.7335
2015-02-03,16.66,16.64,17.5,17.47,11650.0,16.654,6.0073
2015-02-04,17.33,17.3,17.69,17.4,11383.0,16.888,-0.4007
2015-02-05,17.36,17.2,17.71,17.67,8921.0,17.076,1.5517
2015-02-06,17.74,17.74,18.47,18.4,9652.0,17.484,4.1313
2015-02-09,18.25,17.8,18.25,17.88,10988.0,17.764,-2.8261
2015-02-10,17.86,17.59,18.19,18.03,10376.0,17.876,0.8389
2015-02-11,17.9,17.72,17.95,17.75,6430.0,17.946,-1.553
2015-02-12,17.85,17.41,17.85,17.58,7428.0,17.928,-0.9577
2015-02-13,17.53,17.48,17.86,17.52,7866.0,17.752,-0.3413
2015-02-17,17.6,17.52,17.6,17.59,7818.0,17.694,0.3995
2015-02-18,17.5,17.36,17.6,17.41,4231.0,17.57,-1.0233
2015-02-19,17.3,17.3,17.96,17.69,7972.0,17.558,1.6083
2015-02-20,17.74,17.65,17.99,17.99,10622.0,17.64,1.6959
2015-02-23,17.85,17.69,18.0,17.77,9526.0,17.69,-1.2229
2015-02-24,17.77,17.46,17.98,17.92,7717.0,17.756,0.8441
2015-02-25,17.65,17.65,17.9,17.72,12243.0,17.818,-1.1161
2015-02-26,17.64,17.64,18.0,17.96,4552.0,17.872,1.3544
2015-02-27,17.94,17.5,17.97,17.52,11419.0,17.778,-2.4499
2015-03-02,17.66,17.17,17.73,17.57,16030.0,17.738,0.2854
2015-03-03,17.41,17.05,17.41,17.32,7732.0,17.618,-1.4229
2015-03-04,17.18,17.05,17.38,17.11,2499.0,17.496,-1.2125
2015-03-05,17.18,16.91,17.34,17.14,7018.0,17.332,0.1753
2015-03-06,17.08,16.95,17.45,17.02,11310.0,17.232,-0.7001
2015-03-09,17.13,17.13,17.51,17.39,6068.0,17.196,2.1739
2015-03-10,17.27,16.94,17.27,16.94,8531.0,17.12,-2.5877
2015-03-11,17.02,17.02,17.46,17.36,7195.0,17.17,2.4793
2015-03-12,17.54,17.49,17.99,17.96,15969.0,17.334,3.4562
2015-03-13,17.92,17.81,17.97,17.85,4243.0,17.5,-0.6125
2015-03-16,17.95,17.76,18.0,17.95,9921.0,17.612,0.5602
2015-03-17,17.82,17.78,17.98,17.85,5928.0,17.794,-0.5571
2015-03-18,17.88,17.83,18.18,18.09,10255.0,17.94,1.3445
2015-03-19,18.01,17.95,18.13,18.1,4494.0,17.968,0.0553
2015-03-20,18.11,17.96,19.48,19.44,102028.0,18.286,7.4033
2015-03-23,19.2,19.17,19.78,19.53,20265.0,18.602,0.463
2015-03-24,19.5,19.46,19.85,19.63,14334.0,18.958,0.512
2015-03-25,19.59,19.35,19.6,19.39,10053.0,19.218,-1.2226
2015-03-26,19.31,19.25,19.41,19.3,12654.0,19.458,-0.4642
2015-03-27,19.27,19.04,19.32,19.28,16314.0,19.426,-0.1036
2015-03-30,19.28,19.28,19.84,19.73,10763.0,19.466,2.334
2015-03-31,19.59,19.31,19.93,19.89,12626.0,19.518,0.8109
2015-04-01,19.72,19.57,20.06,19.83,10824.0,19.606,-0.3017
2015-04-02,19.91,19.39,19.91,19.53,8564.0,19.652,-1.5129
2015-04-06,19.49,19.46,19.64,19.46,5201.0,19.688,-0.3584
2015-04-07,19.42,19.14,19.42,19.14,10077.0,19.57,-1.6444
2015-04-08,19.1,19.1,19.32,19.19,3506.0,19.43,0.2612
2015-04-09,19.17,18.91,19.205,19.05,5729.0,19.274,-0.7295
2015-04-10,19.17,19.04,19.33,19.14,5090.0,19.196,0.4724
2015-04-13,19.2,19.2,19.41,19.25,3906.0,19.154,0.5747
2015-04-14,19.34,19.2,19.45,19.44,6238.0,19.214,0.987
2015-04-15,19.6,19.41,19.6,19.53,10858.0,19.282,0.463
2015-04-16,19.54,19.35,19.54,19.37,2140.0,19.346,-0.8193
2015-04-17,19.2,18.9,19.2,18.95,13479.0,19.308,-2.1683
2015-04-20,19.0,19.0,19.49,19.49,7303.0,19.356,2.8496
2015-04-21,19.46,19.15,19.46,19.29,4330.0,19.326,-1.0262
2015-04-22,19.25,19.0,19.32,19.32,8931.0,19.284,0.1555
2015-04-23,19.33,19.22,19.86,19.86,11853.0,19.382,2.795
2015-04-24,19.86,19.7,20.15,20.15,8972.0,19.622,1.4602
2015-04-27,20.17,19.71,20.2,20.08,17686.0,19.74,-0.3474
2015-04-28,20.16,19.89,20.29,20.2,10239.0,19.922,0.5976
2015-04-29,20.09,20.01,20.26,20.02,6231.0,20.062,-0.8911
2015-04-30,19.92,18.9,19.92,18.96,30240.0,19.882,-5.2947
2015-05-01,18.96,18.95,19.18,18.95,16828.0,19.642,-0.0527
2015-05-04,19.03,18.58,19.25,18.67,14005.0,19.36,-1.4776
2015-05-05,18.69,18.26,18.75,18.34,19073.0,18.988,-1.7675
2015-05-06,18.34,18.1,18.59,18.27,20778.0,18.638,-0.3817
2015-05-07,18.34,18.07,18.34,18.11,11659.0,18.468,-0.8758
2015-05-08,18.45,18.13,18.45,18.35,13885.0,18.348,1.3252
2015-05-11,18.27,18.27,18.42,18.31,7775.0,18.276,-0.218
2015-05-12,18.25,18.08,18.25,18.16,5230.0,18.24,-0.8192
2015-05-13,18.16,18.15,18.3,18.17,4163.0,18.22,0.0551
2015-05-14,18.29,18.29,18.45,18.44,10077.0,18.286,1.486
2015-05-15,18.45,18.33,18.46,18.39,8184.0,18.294,-0.2711
2015-05-18,18.4,18.35,18.52,18.45,8822.0,18.322,0.3263
2015-05-19,18.45,18.45,18.54,18.47,5898.0,18.384,0.1084
2015-05-20,18.6,18.39,18.6,18.51,5895.0,18.452,0.2166
2015-05-21,18.45,18.45,18.6,18.55,11716.0,18.474,0.2161
2015-05-22,18.46,18.44,18.62,18.44,8959.0,18.484,-0.593
2015-05-26,18.42,18.2,18.42,18.22,14858.0,18.438,-1.1931
2015-05-27,18.2,18.2,18.44,18.4,7560.0,18.424,0.9879
2015-05-28,18.3,18.3,18.53,18.45,2414.0,18.412,0.2717
