date,PX_OPEN,PX_LOW,PX_HIGH,PX_LAST,VOLUME,MOV_AVG_5D,CHG_PCT_1D
2015-01-02,22.93,22.57,22.93,22.65,16801.0,23.478,-2.4128
2015-01-05,22.44,22.38,22.66,22.57,14926.0,23.234,-0.3532
2015-01-06,22.74,22.22,22.74,22.35,9626.0,22.87,-0.9747
2015-01-07,22.46,22.46,23.0,22.99,8156.0,22.754,2.8635
2015-01-08,23.17,23.17,23.49,23.37,7002.0,22.786,1.6529
2015-01-09,23.35,22.78,23.45,23.41,9121.0,22.938,0.1712
2015-01-12,23.54,23.2,23.54,23.44,9973.0,23.112,0.1282
2015-01-13,23.59,23.38,23.79,23.74,7569.0,23.39,1.2799
2015-01-14,23.63,23.54,24.0,24.0,7272.0,23.592,1.0952
2015-01-15,23.85,23.24,23.85,23.35,15466.0,23.588,-2.7083
2015-01-16,23.27,23.27,24.0,24.0,9550.0,23.706,2.7837
2015-01-20,23.93,23.93,24.585,24.52,8721.0,23.922,2.1667
2015-01-21,24.34,24.0,24.34,24.31,5531.0,24.036,-0.8564
2015-01-22,24.5,24.18,24.84,24.84,11311.0,24.204,2.1802
2015-01-23,24.91,24.43,24.95,24.44,15920.0,24.422,-1.6103
2015-01-26,24.4,24.09,24.4,24.33,9661.0,24.488,-0.4501
2015-01-27,24.09,24.09,24.31,24.31,3064.0,24.446,-0.0822
2015-01-28,24.26,23.75,24.26,23.75,8569.0,24.334,-2.3036
2015-01-29,23.93,23.93,24.29,24.29,5442.0,24.224,2.2737
2015-01-30,24.06,23.67,24.4,23.67,11427.0,24.07,-2.5525
2015-02-02,23.75,23.06,23.75,23.58,8479.0,23.92,-0.3802
2015-02-03,23.67,23.6,23.88,23.65,13791.0,23.788,0.2969
2015-02-04,23.66,23.56,23.88,23.62,9611.0,23.762,-0.1268
2015-02-05,23.74,23.74,24.33,24.22,6145.0,23.748,2.5402
2015-02-06,24.22,23.99,24.41,24.01,9573.0,23.816,-0.8671
2015-02-09,23.98,23.96,24.12,23.96,13447.0,23.892,-0.2082
2015-02-10,24.07,23.72,24.07,23.72,7612.0,23.906,-1.0017
2015-02-11,23.71,22.8,23.73,22.8,8275.0,23.742,-3.8786
2015-02-12,22.82,22.76,23.06,22.93,7834.0,23.484,0.5702
2015-02-13,23.09,22.75,23.09,23.0,10150.0,23.282,0.3053
2015-02-17,23.0,23.0,23.38,23.18,8427.0,23.126,0.7826
2015-02-18,23.21,23.21,23.59,23.52,4211.0,23.086,1.4668
2015-02-19,23.44,23.11,23.53,23.18,8321.0,23.162,-1.4456
