ranking,sector,ticker1,ticker2,corr_px,corr_r,corr_px**2,corr_r**2,corr**2_sum,name1,name2,corr**2_w_sum
12,Information Technology,MU_UW,005930_KS,0.924687771,0.534614561,0.855047473,0.285812729,1.140860202,Micron Technology Inc,"Samsung Electronics Co., Ltd",0.399659678
13,Financials,MKL_UN,316140_KS,0.840719142,0.566509341,0.706808675,0.320932834,1.027741509,Markel Corp,Woori Financial Group Inc,0.398108002
14,Industrials,RHI_UN,028670_KS,0.882927856,0.547650734,0.779561598,0.299921326,1.079482924,Robert Half,"Pan Ocean Co., Ltd",0.39584938
15,Financials,138930_KS,BLX_UN,0.688709139,0.611933038,0.474320278,0.374462043,0.848782321,BNK Financial Group Inc,Banco Latinoamericano De Comercio,0.39443369
16,Industrials,KAR_UN,294870_KS,0.917381547,0.52950182,0.841588903,0.280372177,1.12196108,Kar Auction Services Inc,Hyundai Development Company,0.392615522
17,Financials,BRK_B_UN,316140_KS,0.908060298,0.528680019,0.824573505,0.279502563,1.104076068,Berkshire Hathaway Inc. Class B,Woori Financial Group Inc,0.388516751
18,Energy,OII_UN,010950_KS,0.79569628,0.566941579,0.63313257,0.321422753,0.954555324,Oceaneering International Inc,S-Oil Corporation,0.383764716
19,Industrials,028670_KS,CMRE_UN,0.965132104,0.494208435,0.931479979,0.244241977,1.175721956,"Pan Ocean Co., Ltd",Costamare Inc,0.381689577
20,Industrials,028670_KS,KFY_UN,0.747479452,0.578597614,0.558725531,0.334775199,0.89350073,"Pan Ocean Co., Ltd",Korn Ferry International,0.379565265
21,Industrials,028670_KS,LHX_UN,0.923356552,0.511052698,0.852587322,0.26117486,1.113762182,"Pan Ocean Co., Ltd","L3Harris Technologies, Inc.",0.379457352
22,Energy,INT_UN,010950_KS,0.936092451,0.503652523,0.876269076,0.253665864,1.12993494,World Fuel Services Corp,S-Oil Corporation,0.378186506
23,Financials,316140_KS,AIG_UN,0.803519687,0.557691683,0.645643888,0.311020013,0.956663901,Woori Financial Group Inc,American International Group Inc,0.377944788
24,Industrials,028670_KS,HII_UN,0.805649299,0.556521355,0.649070793,0.309716019,0.958786812,"Pan Ocean Co., Ltd",Huntington Ingalls Industries Inc,0.377586974
25,Industrials,375500_KS,HSC_UN,0.81701804,0.552082065,0.667518478,0.304794607,0.972313085,Dl E&C Ltd,Harsco Corp,0.377339381
26,Energy,267250_KS,WFRD_UW,0.814157597,0.552969471,0.662852593,0.305775236,0.968627829,"Hyundai Heavy Industries Holdings Co., Ltd",Weatherford International plc,0.377190707
27,Materials,SXC_UN,000210_KS,0.957466668,0.49200254,0.91674242,0.2420665,1.15880892,Suncoke Energy Inc,"Daelim Industrial Co., Ltd",0.377001684
28,Industrials,IIIN_UN,294870_KS,0.821680862,0.548510144,0.675159439,0.300863378,0.976022817,Insteel Industries Inc,Hyundai Development Company,0.37572259
29,Industrials,294870_KS,HDSN_UR,0.5467477,0.628296469,0.298933048,0.394756453,0.693689501,Hyundai Development Company,Hudson Technologies Inc,0.375591772
30,Financials,SEIC_UW,138930_KS,0.841967065,0.539206655,0.708908539,0.290743817,0.999652356,SEI Investments,BNK Financial Group Inc,0.374376761
31,Industrials,028670_KS,KFRC_UW,0.846679138,0.535497847,0.716865562,0.286757944,1.003623506,"Pan Ocean Co., Ltd",Kforce Inc,0.372779468
32,Energy,PR_UN,010950_KS,0.824610425,0.542922154,0.679982353,0.294764465,0.974746818,Permian Resources Corporation - Class A,S-Oil Corporation,0.371808043
33,Financials,138930_KS,AIG_UN,0.765834282,0.563813525,0.586502147,0.317885691,0.904387838,BNK Financial Group Inc,American International Group Inc,0.371608982
34,Industrials,294870_KS,MATW_UW,0.863140799,0.526612383,0.745012038,0.277320602,1.02233264,Hyundai Development Company,Matthews International Corp Class,0.370858889
35,Industrials,294870_KS,MATX_UN,0.849931676,0.529957145,0.722383853,0.280854576,1.003238429,Hyundai Development Company,Matson Inc,0.369160431
36,Industrials,SP_UW,294870_KS,0.830201901,0.536544462,0.689235196,0.287879959,0.977115156,Sp Plus Corp,Hyundai Development Company,0.368151006
37,Financials,316140_KS,RDN_UN,0.93815551,0.489912629,0.880135762,0.240014384,1.120150146,Woori Financial Group Inc,Radian Group Inc,0.36803866
38,Industrials,028670_KS,GNK_UN,0.923329192,0.495875759,0.852536798,0.245892768,1.098429566,"Pan Ocean Co., Ltd",Genco Shipping And Trading Ltd,0.367221574
39,Financials,000810_KS,BLX_UN,0.793933061,0.548786192,0.630329705,0.301166285,0.93149599,"Samsung Fire & Marine Insurance Co., Ltd",Banco Latinoamericano De Comercio,0.366998969
