ranking,sector,ticker1,ticker2,corr_px,corr_r,corr_px**2,corr_r**2,corr**2_sum,name1,name2,corr**2_w_sum
49,Financials,055550_KS,316140_KS,0.0,0.768625525,0.0,0.590785197,0.590785197,"Shinhan Financial Group Co., Ltd",Woori Financial Group Inc,0.472628158
63,Financials,138930_KS,139130_KS,0.0,0.75381546,0.0,0.568237748,0.568237748,BNK Financial Group Inc,"DGB Financial Group Co., LTD",0.454590198
80,Financials,055550_KS,024110_KS,0.0,0.728191157,0.0,0.530262361,0.530262361,"Shinhan Financial Group Co., Ltd",Industrial Bank of Korea,0.424209889
91,Materials,298050_KS,298020_KS,0.0,0.71641173,0.0,0.513245766,0.513245766,Hyosung Advanced Materials Corp,Hyosung Tnc Corp,0.410596613
107,Communication Services,035420_KS,035720_KS,0.0,0.704922199,0.0,0.496915307,0.496915307,NAVER Corporation,Kakao Corp,0.397532246
122,Financials,055550_KS,138930_KS,0.0,0.693444599,0.0,0.480865411,0.480865411,"Shinhan Financial Group Co., Ltd",BNK Financial Group Inc,0.384692329
185,Financials,055550_KS,016360_KS,0.0,0.6404375,0.0,0.410160191,0.410160191,"Shinhan Financial Group Co., Ltd","Samsung Securities Co.,Ltd",0.328128153
188,Financials,039490_KS,138930_KS,0.0,0.638645722,0.0,0.407868359,0.407868359,"Kiwoom Securities Co., Ltd",BNK Financial Group Inc,0.326294687
195,Industrials,078930_KS,294870_KS,0.0,0.63640234,0.0,0.405007938,0.405007938,GS Holdings Corp,Hyundai Development Company,0.32400635
198,Consumer Staples,090430_KS,192820_KS,0.0,0.634710751,0.0,0.402857737,0.402857737,Amorepacific Corporation,Cosmax Inc,0.32228619
201,Financials,316140_KS,139130_KS,0.0,0.632707668,0.0,0.400318993,0.400318993,Woori Financial Group Inc,"DGB Financial Group Co., LTD",0.320255194
204,Financials,024110_KS,039490_KS,0.0,0.63156205,0.0,0.398870623,0.398870623,Industrial Bank of Korea,"Kiwoom Securities Co., Ltd",0.319096498
210,Consumer Discretionary,032350_KS,008770_KS,0.0,0.629506961,0.0,0.396279014,0.396279014,Lotte Tour Development Ltd,"Hotel Shilla Co.,Ltd",0.317023211
218,Industrials,028260_KS,078930_KS,0.0,0.622150657,0.0,0.38707144,0.38707144,Samsung C&T Corporation,GS Holdings Corp,0.309657152
220,Materials,000210_KS,004020_KS,0.0,0.621614202,0.0,0.386404216,0.386404216,"Daelim Industrial Co., Ltd",Hyundai Steel Company,0.309123373
222,Financials,138930_KS,088350_KS,0.0,0.621231644,0.0,0.385928755,0.385928755,BNK Financial Group Inc,"Hanwha Life Insurance Co., Ltd",0.308743004
223,Consumer Staples,001680_KS,097950_KS,0.0,0.621011697,0.0,0.385655528,0.385655528,Daesang Corporation,CJ Cheiljedang Corporation,0.308524422
229,Consumer Staples,161890_KS,192820_KS,0.0,0.617877061,0.0,0.381772062,0.381772062,"Kolmar Korea Co., Ltd",Cosmax Inc,0.30541765
240,Financials,139130_KS,029780_KS,0.0,0.613119124,0.0,0.37591506,0.37591506,"DGB Financial Group Co., LTD","Samsung Card Co., Ltd",0.300732048
248,Financials,029780_KS,086790_KS,0.0,0.609093441,0.0,0.37099482,0.37099482,"Samsung Card Co., Ltd",Hana Financial Group Inc,0.296795856
250,Health Care,185750_KS,003090_KS,0.0,0.608456521,0.0,0.370219338,0.370219338,Chong Kun Dang Pharmaceutical,"Daewoong Co., Ltd",0.29617547
272,Financials,024110_KS,139130_KS,0.0,0.599906854,0.0,0.359888234,0.359888234,Industrial Bank of Korea,"DGB Financial Group Co., LTD",0.287910587
280,Financials,006800_KS,039490_KS,0.0,0.596061355,0.0,0.355289139,0.355289139,"Mirae Asset Daewoo Co., Ltd","Kiwoom Securities Co., Ltd",0.284231311
282,Industrials,078930_KS,001120_KS,0.0,0.594097479,0.0,0.352951815,0.352951815,GS Holdings Corp,LG International Corp,0.282361452
289,Industrials,375500_KS,078930_KS,0.0,0.592618837,0.0,0.351197086,0.351197086,Dl E&C Ltd,GS Holdings Corp,0.280957669
308,Materials,005490_KS,010130_KS,0.0,0.585839857,0.0,0.343208337,0.343208337,POSCO,"Korea Zinc Co., Ltd",0.27456667
315,Financials,175330_KS,105560_KS,0.0,0.582887126,0.0,0.339757402,0.339757402,"JB Financial Group Co., Ltd",KB Financial Group Inc,0.271805922
324,Financials,016360_KS,039490_KS,0.0,0.581018551,0.0,0.337582556,0.337582556,"Samsung Securities Co.,Ltd","Kiwoom Securities Co., Ltd",0.270066045
331,Financials,055550_KS,032830_KS,0.0,0.57845647,0.0,0.334611887,0.334611887,"Shinhan Financial Group Co., Ltd","Samsung Life Insurance Co., Ltd",0.26768951
333,Consumer Discretionary,284740_KS,020000_KS,0.0,0.576490384,0.0,0.332341162,0.332341162,Cuckoo Homesys Ltd,HANDSOME Corp,0.26587293
343,Financials,039490_KS,316140_KS,0.0,0.573979889,0.0,0.329452913,0.329452913,"Kiwoom Securities Co., Ltd",Woori Financial Group Inc,0.26356233
345,Consumer Staples,097950_KS,007310_KS,0.0,0.5737506,0.0,0.329189752,0.329189752,CJ Cheiljedang Corporation,Ottogi Corporation,0.263351802
351,Materials,010130_KS,103140_KS,0.0,0.57327024,0.0,0.328638768,0.328638768,"Korea Zinc Co., Ltd",Poongsan Corporation,0.262911014
353,Communication Services,032640_KS,030000_KS,0.0,0.572346486,0.0,0.3275805,0.3275805,LG Uplus Corp,Cheil Worldwide Inc,0.2620644
362,Materials,001230_KS,103140_KS,0.0,0.56939279,0.0,0.324208149,0.324208149,Dongkuk Steel Mill Company Limited,Poongsan Corporation,0.259366519
368,Consumer Discretionary,069960_KS,008770_KS,0.0,0.566819636,0.0,0.3212845,0.3212845,"Hyundai Department Store Co., Ltd","Hotel Shilla Co.,Ltd",0.2570276
373,Health Care,008930_KS,069620_KS,0.0,0.565554853,0.0,0.319852291,0.319852291,"Hanmi Science Co., Ltd","Daewoong Pharmaceutical Co., Ltd",0.255881833
401,Industrials,028670_KS,001120_KS,0.0,0.558135478,0.0,0.311515212,0.311515212,"Pan Ocean Co., Ltd",LG International Corp,0.24921217
406,Consumer Discretionary,069960_KS,000240_KS,0.0,0.557070064,0.0,0.310327056,0.310327056,"Hyundai Department Store Co., Ltd","Hankook Tire Worldwide Co., Ltd",0.248261645
409,Health Care,128940_KS,207940_KS,0.0,0.556371046,0.0,0.309548741,0.309548741,"Hanmi Pharm. Co., Ltd","Samsung Biologics Co.,Ltd",0.247638993
412,Health Care,003090_KS,137310_KS,0.0,0.554498776,0.0,0.307468893,0.307468893,"Daewoong Co., Ltd",SD BIOSENSOR INC,0.245975114
424,Industrials,006360_KS,028260_KS,0.0,0.551891313,0.0,0.304584022,0.304584022,GS Engineering & Construction Corporation,Samsung C&T Corporation,0.243667218
425,Consumer Discretionary,018880_KS,271940_KS,0.0,0.551796419,0.0,0.304479288,0.304479288,Hanon Systems,Iljin HySolus Co Ltd,0.24358343
427,Financials,139130_KS,006800_KS,0.0,0.551582991,0.0,0.304243796,0.304243796,"DGB Financial Group Co., LTD","Mirae Asset Daewoo Co., Ltd",0.243395037
428,Industrials,028260_KS,034730_KS,0.0,0.551157083,0.0,0.30377413,0.30377413,Samsung C&T Corporation,"SK Holdings Co., Ltd",0.243019304
431,Industrials,047040_KS,078930_KS,0.0,0.550546151,0.0,0.303101064,0.303101064,"Daewoo Engineering & Construction Co., Ltd",GS Holdings Corp,0.242480851
437,Financials,105560_KS,029780_KS,0.0,0.54914349,0.0,0.301558573,0.301558573,KB Financial Group Inc,"Samsung Card Co., Ltd",0.241246858
487,Health Care,003090_KS,326030_KS,0.0,0.537556485,0.0,0.288966974,0.288966974,"Daewoong Co., Ltd",Sk Biopharmaceuticals Ltd,0.231173579
488,Consumer Discretionary,009900_KS,004490_KS,0.0,0.537467585,0.0,0.288871405,0.288871405,Myoung Shin Industrial Ltd,"Sebang Global Battery Co., Ltd",0.231097124
490,Industrials,272210_KS,028050_KS,0.0,0.537120871,0.0,0.28849883,0.28849883,Hanwha Systems Ltd,"Samsung Engineering Co., Ltd",0.230799064
494,Materials,120110_KS,298050_KS,0.0,0.535951171,0.0,0.287243658,0.287243658,"Kolon Industries, Inc",Hyosung Advanced Materials Corp,0.229794926
503,Consumer Discretionary,020000_KS,161390_KS,0.0,0.534003401,0.0,0.285159632,0.285159632,HANDSOME Corp,"Hankook Tire Co., Ltd",0.228127706
507,Industrials,078930_KS,010140_KS,0.0,0.531627974,0.0,0.282628302,0.282628302,GS Holdings Corp,"Samsung Heavy Industries Co., Ltd",0.226102642
525,Industrials,009540_KS,034730_KS,0.0,0.527374895,0.0,0.27812428,0.27812428,HD Korea Shipbuilding & Offshore Engineering Co Lt,"SK Holdings Co., Ltd",0.222499424
540,Industrials,034730_KS,010620_KS,0.0,0.523551155,0.0,0.274105812,0.274105812,"SK Holdings Co., Ltd","Hyundai Mipo Dockyard Co., Ltd",0.21928465
542,Health Care,207940_KS,000100_KS,0.0,0.522526275,0.0,0.273033708,0.273033708,"Samsung Biologics Co.,Ltd",Yuhan Corporation,0.218426966
544,Financials,006800_KS,055550_KS,0.0,0.522382348,0.0,0.272883317,0.272883317,"Mirae Asset Daewoo Co., Ltd","Shinhan Financial Group Co., Ltd",0.218306654
573,Materials,003670_KS,010130_KS,0.0,0.513386368,0.0,0.263565563,0.263565563,Posco Chemical Co Ltd,"Korea Zinc Co., Ltd",0.21085245
